  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
# Band-Index   11
    0.000  -13.8327     0.114     0.635     0.000     0.000     0.000
    0.019  -13.8723     0.119     0.633     0.000     0.000     0.000
    0.038  -13.9136     0.116     0.631     0.000     0.000     0.000
    0.057  -13.9550     0.119     0.623     0.000     0.000     0.000
    0.077  -13.9963     0.118     0.625     0.000     0.000     0.000
    0.096  -14.0366     0.117     0.623     0.000     0.000     0.000
    0.115  -14.0773     0.119     0.617     0.000     0.000     0.000
    0.134  -14.1177     0.120     0.611     0.000     0.000     0.000
    0.153  -14.1575     0.121     0.613     0.000     0.000     0.000
    0.172  -14.1967     0.122     0.609     0.000     0.000     0.000
    0.191  -14.2048     0.124     0.610     0.000     0.000     0.000
    0.210  -14.1567     0.124     0.611     0.000     0.000     0.000
    0.230  -14.1090     0.118     0.618     0.000     0.000     0.000
    0.230  -14.1090     0.118     0.618     0.000     0.000     0.000
    0.241  -14.1088     0.118     0.618     0.000     0.000     0.000
    0.252  -14.1080     0.118     0.619     0.000     0.000     0.000
    0.263  -14.1068     0.118     0.620     0.000     0.000     0.000
    0.274  -14.1052     0.118     0.620     0.000     0.000     0.000
    0.285  -14.1030     0.118     0.618     0.000     0.000     0.000
    0.296  -14.1004     0.118     0.616     0.000     0.000     0.000
    0.307  -14.0973     0.117     0.620     0.000     0.000     0.000
    0.318  -14.0937     0.115     0.620     0.000     0.000     0.000
    0.329  -14.0896     0.115     0.615     0.000     0.000     0.000
    0.340  -14.0850     0.119     0.620     0.000     0.000     0.000
    0.351  -14.0797     0.116     0.618     0.000     0.000     0.000
    0.362  -14.0784     0.118     0.618     0.000     0.000     0.000
    0.362  -14.0784     0.118     0.618     0.000     0.000     0.000
    0.384  -14.0638     0.120     0.621     0.000     0.000     0.000
    0.406  -14.0496     0.117     0.624     0.000     0.000     0.000
    0.428  -14.0340     0.117     0.623     0.000     0.000     0.000
    0.450  -14.0168     0.118     0.622     0.000     0.000     0.000
    0.472  -14.0063     0.060     0.637     0.000     0.000     0.000
    0.495  -14.0146     0.058     0.635     0.000     0.000     0.000
    0.517  -14.0217     0.057     0.639     0.000     0.000     0.000
    0.539  -14.0275     0.056     0.637     0.000     0.000     0.000
    0.561  -13.9982     0.123     0.624     0.000     0.000     0.000
    0.583  -13.9417     0.120     0.625     0.000     0.000     0.000
    0.605  -13.8859     0.118     0.631     0.000     0.000     0.000
    0.627  -13.8327     0.114     0.635     0.000     0.000     0.000
 
# Band-Index   12
    0.627  -13.8319     0.113     0.632     0.000     0.000     0.000
    0.605  -13.8582     0.114     0.631     0.000     0.000     0.000
    0.583  -13.8843     0.118     0.630     0.000     0.000     0.000
    0.561  -13.9094     0.119     0.625     0.000     0.000     0.000
