#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 416
# Band-Index    1
   0.36204    -13.699331    -13.699357
   0.38413    -13.674022    -13.674048
   0.40621    -13.647926    -13.647952
   0.42830    -13.621410    -13.621436
   0.45039    -13.605829    -13.605855
   0.47247    -13.632612    -13.632639
   0.49456    -13.660444    -13.660470
   0.51665    -13.689009    -13.689035
   0.53873    -13.717840    -13.717866
   0.56082    -13.718403    -13.718429
   0.58291    -13.741918    -13.741945
   0.60499    -13.776498    -13.776525
   0.62708    -13.775559    -13.775585
 
# Band-Index   20
   0.62708    -13.775059    -13.775085
   0.60499    -13.758075    -13.758101
   0.58291    -13.733653    -13.733679
   0.56082    -13.711632    -13.711658
   0.53873    -13.717624    -13.717651
