  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.316  -14.2062     0.081     0.001     0.624     0.019
    0.327  -14.2159     0.077     0.001     0.619     0.018
    0.338  -14.2240     0.077     0.001     0.624     0.016
    0.349  -14.2293     0.073     0.001     0.624     0.015
    0.360  -14.2314     0.073     0.001     0.620     0.017
    0.360  -14.2314     0.073     0.001     0.620     0.017
    0.382  -14.2294     0.075     0.001     0.624     0.014
    0.404  -14.2203     0.082     0.001     0.621     0.017
    0.426  -14.2060     0.084     0.001     0.622     0.014
    0.449  -14.1884     0.089     0.000     0.620     0.013
    0.471  -14.1701     0.085     0.000     0.622     0.014
    0.493  -14.1551     0.088     0.001     0.628     0.013
    0.515  -14.1477     0.082     0.001     0.625     0.016
    0.537  -14.1513     0.081     0.001     0.627     0.017
    0.559  -14.1641     0.070     0.001     0.627     0.018
    0.581  -14.1816     0.071     0.000     0.625     0.017
    0.603  -14.2003     0.070     0.000     0.624     0.018
