  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.228  -14.2583     0.086     0.002     0.611     0.011
    0.209  -14.2587     0.087     0.001     0.609     0.008
    0.190  -14.2597     0.083     0.001     0.613     0.010
    0.171  -14.2584     0.080     0.002     0.619     0.017
    0.152  -14.2459     0.077     0.002     0.627     0.019
    0.133  -14.2334     0.074     0.002     0.625     0.019
    0.114  -14.2259     0.074     0.001     0.629     0.019
    0.095  -14.2232     0.076     0.001     0.630     0.020
    0.076  -14.2242     0.074     0.000     0.630     0.018
    0.057  -14.2281     0.079     0.000     0.628     0.017
    0.038  -14.2338     0.079     0.000     0.629     0.018
    0.019  -14.2361     0.081     0.000     0.625     0.015
    0.000  -14.2320     0.080     0.000     0.624     0.015
 
# Band-Index   13
    0.000  -14.2118     0.066     0.000     0.622     0.020
    0.019  -14.2047     0.069     0.000     0.624     0.018
    0.038  -14.1931     0.072     0.000     0.626     0.018
    0.057  -14.1824     0.074     0.000     0.628     0.017
    0.076  -14.1741     0.074     0.001     0.624     0.016
    0.095  -14.1696     0.073     0.001     0.627     0.016
    0.114  -14.1693     0.075     0.001     0.623     0.017
    0.133  -14.1721     0.076     0.001     0.621     0.015
    0.152  -14.1756     0.076     0.001     0.621     0.014
    0.171  -14.1781     0.083     0.001     0.621     0.014
    0.190  -14.1796     0.081     0.001     0.623     0.015
    0.209  -14.1803     0.080     0.001     0.623     0.014
    0.228  -14.1804     0.081     0.001     0.623     0.014
    0.228  -14.1804     0.081     0.001     0.623     0.014
    0.239  -14.1799     0.079     0.001     0.621     0.014
    0.250  -14.1786     0.079     0.001     0.623     0.015
    0.261  -14.1776     0.078     0.001     0.624     0.016
    0.272  -14.1782     0.081     0.001     0.626     0.017
    0.283  -14.1815     0.081     0.001     0.629     0.017
    0.294  -14.1877     0.081     0.001     0.623     0.016
    0.305  -14.1963     0.078     0.001     0.622     0.017
    0.316  -14.2061     0.081     0.001     0.624     0.019
    0.327  -14.2158     0.077     0.001     0.621     0.018
    0.338  -14.2239     0.077     0.001     0.625     0.016
    0.349  -14.2292     0.073     0.001     0.624     0.015
    0.360  -14.2313     0.073     0.001     0.621     0.017
    0.360  -14.2313     0.073     0.001     0.621     0.017
    0.382  -14.2293     0.075     0.001     0.624     0.014
    0.404  -14.2202     0.082     0.001     0.622     0.017
    0.426  -14.2059     0.084     0.001     0.623     0.014
    0.449  -14.1883     0.089     0.000     0.620     0.013
    0.471  -14.1701     0.085     0.000     0.622     0.014
    0.493  -14.1550     0.088     0.001     0.628     0.013
    0.515  -14.1476     0.082     0.001     0.625     0.016
    0.537  -14.1512     0.081     0.001     0.627     0.017
    0.559  -14.1640     0.070     0.001     0.627     0.018
    0.581  -14.1815     0.071     0.000     0.625     0.017
    0.603  -14.2002     0.070     0.000     0.624     0.018
