#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.51460    -14.119437    -14.119335
   0.49258    -14.114441    -14.114317
   0.47055    -14.116761    -14.116597
   0.44852    -14.121927    -14.121747
   0.42650    -14.125402    -14.125214
   0.40447    -14.126548    -14.126355
   0.38245    -14.125692    -14.125493
   0.36042    -14.123938    -14.123732
   0.36042    -14.123938    -14.123732
   0.34942    -14.122945    -14.122749
   0.33843    -14.122316    -14.122130
   0.32743    -14.122302    -14.122126
   0.31643    -14.123096    -14.122929
   0.30544    -14.124748    -14.124591
   0.29444    -14.126971    -14.126824
   0.28344    -14.129170    -14.129030
   0.27245    -14.130804    -14.130671
   0.26145    -14.131734    -14.131607
   0.25045    -14.132166    -14.132042
   0.23946    -14.132340    -14.132217
   0.22846    -14.132386    -14.132264
   0.22846    -14.132386    -14.132264
   0.20942    -14.131531    -14.131410
   0.19038    -14.129218    -14.129100
   0.17134    -14.126151    -14.126039
   0.15231    -14.123301    -14.123194
   0.13327    -14.121559    -14.121456
   0.11423    -14.121434    -14.121332
   0.09519    -14.123148    -14.123044
   0.07615    -14.126654    -14.126549
   0.05711    -14.131345    -14.131239
   0.03808    -14.136082    -14.135974
   0.01904    -14.139583    -14.139474
   0.00000    -14.140869    -14.140759
 
# Band-Index   15
   0.00000    -14.049207    -14.049056
   0.01904    -14.050626    -14.050477
   0.03808    -14.054677    -14.054532
   0.05711    -14.060749    -14.060610
   0.07615    -14.067839    -14.067705
   0.09519    -14.074624    -14.074494
   0.11423    -14.079997    -14.079871
   0.13327    -14.083801    -14.083680
   0.15231    -14.086478    -14.086361
   0.17134    -14.088296    -14.088182
   0.19038    -14.089401    -14.089290
   0.20942    -14.089971    -14.089861
   0.22846    -14.090145    -14.090035
   0.22846    -14.090145    -14.090035
   0.23946    -14.091709    -14.091599
   0.25045    -14.095722    -14.095613
   0.26145    -14.100769    -14.100659
   0.27245    -14.105504    -14.105395
   0.28344    -14.109025    -14.108917
   0.29444    -14.111001    -14.110897
   0.30544    -14.111539    -14.111437
   0.31643    -14.110942    -14.110840
   0.32743    -14.109645    -14.109539
   0.33843    -14.108066    -14.107956
   0.34942    -14.106417    -14.106304
   0.36042    -14.104749    -14.104636
   0.36042    -14.104749    -14.104636
   0.38245    -14.102403    -14.102287
   0.40447    -14.099554    -14.099444
   0.42650    -14.097158    -14.097056
   0.44852    -14.096247    -14.096150
   0.47055    -14.097146    -14.097042
   0.49258    -14.095300    -14.095168
   0.51460    -14.084989    -14.084853
   0.53663    -14.071847    -14.071717
   0.55865    -14.060953    -14.060820
   0.58068    -14.053970    -14.053826
   0.60271    -14.050319    -14.050169
   0.62473    -14.049207    -14.049056
 
# Band-Index   16
   0.62473    -14.007046    -14.006944
   0.60271    -14.012489    -14.012346
   0.58068    -14.023803    -14.023618
   0.55865    -14.036222    -14.036010
   0.53663    -14.047018    -14.046793
   0.51460    -14.054930    -14.054707
   0.49258    -14.060471    -14.060255
   0.47055    -14.064433    -14.064225
   0.44852    -14.067384    -14.067186
   0.42650    -14.069931    -14.069748
   0.40447    -14.072481    -14.072314
   0.38245    -14.075158    -14.075004
   0.36042    -14.077850    -14.077700
   0.36042    -14.077850    -14.077700
   0.34942    -14.078399    -14.078243
   0.33843    -14.078448    -14.078283
   0.32743    -14.077759    -14.077585
   0.31643    -14.076215    -14.076034
   0.30544    -14.073896    -14.073712
   0.29444    -14.071046    -14.070863
   0.28344    -14.067995    -14.067818
   0.27245    -14.065097    -14.064930
   0.26145    -14.062695    -14.062545
   0.25045    -14.061071    -14.060941
   0.23946    -14.060299    -14.060189
   0.22846    -14.060120    -14.060019
   0.22846    -14.060120    -14.060019
   0.20942    -14.059823    -14.059722
   0.19038    -14.058900    -14.058801
   0.17134    -14.057222    -14.057126
   0.15231    -14.054445    -14.054352
   0.13327    -14.049965    -14.049878
   0.11423    -14.043258    -14.043176
   0.09519    -14.034543    -14.034463
   0.07615    -14.025109    -14.025016
   0.05711    -14.017075    -14.016943
   0.03808    -14.011566    -14.011424
